Label,Analysis,nVertices,SessCode,Condition,Response
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,103261,facewordN01_self,English_intact,0.497383988192005
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,103261,facewordN01_self,English_exchange,0.647062177138944
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,103261,facewordN01_self,English_top,0.410964807916072
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,103261,facewordN01_self,English_bottom,0.452024970323809
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,103261,facewordN01_self,Chinese_intact,0.185949184721516
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,103261,facewordN01_self,Chinese_exchange,0.017042372672398
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,103261,facewordN01_self,Chinese_top,0.364606165357174
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,103261,facewordN01_self,Chinese_bottom,0.33589950107759
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,138526,facewordN02_self,English_intact,0.338365616542952
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,138526,facewordN02_self,English_exchange,0.471631588254656
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,138526,facewordN02_self,English_top,0.533201486723764
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,138526,facewordN02_self,English_bottom,0.466917435611997
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,138526,facewordN02_self,Chinese_intact,0.579507274287088
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,138526,facewordN02_self,Chinese_exchange,0.662530647005354
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,138526,facewordN02_self,Chinese_top,0.48747529557773
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,138526,facewordN02_self,Chinese_bottom,0.601806742804391
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,134377,facewordN03_self,English_intact,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,134377,facewordN03_self,English_exchange,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,134377,facewordN03_self,English_top,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,134377,facewordN03_self,English_bottom,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,134377,facewordN03_self,Chinese_intact,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,134377,facewordN03_self,Chinese_exchange,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,134377,facewordN03_self,Chinese_top,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,134377,facewordN03_self,Chinese_bottom,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,123708,facewordN04_self,English_intact,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,123708,facewordN04_self,English_exchange,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,123708,facewordN04_self,English_top,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,123708,facewordN04_self,English_bottom,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,123708,facewordN04_self,Chinese_intact,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,123708,facewordN04_self,Chinese_exchange,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,123708,facewordN04_self,Chinese_top,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,123708,facewordN04_self,Chinese_bottom,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,125006,facewordN05_self,English_intact,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,125006,facewordN05_self,English_exchange,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,125006,facewordN05_self,English_top,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,125006,facewordN05_self,English_bottom,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,125006,facewordN05_self,Chinese_intact,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,125006,facewordN05_self,Chinese_exchange,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E2_self.lh,125006,facewordN05_self,Chinese_top,NaN
