Label,Analysis,nVertices,SessCode,Condition,Response
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,130758,faceword08_self,face_intact,1.07192067529114
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,130758,faceword08_self,face_exchange,1.16268812854525
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,130758,faceword08_self,face_top,1.20055332402108
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,130758,faceword08_self,face_bottom,1.1040457764142
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,130758,faceword08_self,word_intact,1.02915893138294
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,130758,faceword08_self,word_exchange,1.09692819857262
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,130758,faceword08_self,word_top,0.827965910375958
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,130758,faceword08_self,word_bottom,0.852288140797279
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,141965,faceword09_self,face_intact,0.681836705842464
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,141965,faceword09_self,face_exchange,0.745717116397062
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,141965,faceword09_self,face_top,0.614593703326561
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,141965,faceword09_self,face_bottom,0.607198295833396
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,141965,faceword09_self,word_intact,0.622419615282858
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,141965,faceword09_self,word_exchange,0.696733746490033
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,141965,faceword09_self,word_top,0.403268120030491
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,141965,faceword09_self,word_bottom,0.643119337854625
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,134264,faceword10_self,face_intact,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,134264,faceword10_self,face_exchange,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,134264,faceword10_self,face_top,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,134264,faceword10_self,face_bottom,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,134264,faceword10_self,word_intact,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,134264,faceword10_self,word_exchange,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,134264,faceword10_self,word_top,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,134264,faceword10_self,word_bottom,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,130868,faceword11_self,face_intact,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,130868,faceword11_self,face_exchange,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,130868,faceword11_self,face_top,NaN
