Label,Analysis,nVertices,SessCode,ClassifyPair,Classifier,Run,Predicted,Targets,ACC
roi.lh.f-vs-o.ffa1.label,main_sm0_E2_self.lh,62,facewordN01_self,English_intact-Chinese_intact,cosmo_classify_libsvm,1,5,1,0
roi.lh.f-vs-o.ffa1.label,main_sm0_E2_self.lh,62,facewordN01_self,English_intact-Chinese_intact,cosmo_classify_libsvm,1,5,5,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E2_self.lh,62,facewordN01_self,English_intact-Chinese_intact,cosmo_classify_libsvm,2,1,1,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E2_self.lh,62,facewordN01_self,English_intact-Chinese_intact,cosmo_classify_libsvm,2,5,5,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E2_self.lh,62,facewordN01_self,English_intact-Chinese_intact,cosmo_classify_libsvm,3,5,1,0
roi.lh.f-vs-o.ffa1.label,main_sm0_E2_self.lh,62,facewordN01_self,English_intact-Chinese_intact,cosmo_classify_libsvm,3,1,5,0
roi.lh.f-vs-o.ffa1.label,main_sm0_E2_self.lh,62,facewordN01_self,English_intact-Chinese_intact,cosmo_classify_libsvm,4,1,1,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E2_self.lh,62,facewordN01_self,English_intact-Chinese_intact,cosmo_classify_libsvm,4,1,5,0
roi.lh.f-vs-o.ffa1.label,main_sm0_E2_self.lh,62,facewordN01_self,English_intact-Chinese_intact,cosmo_classify_libsvm,5,1,1,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E2_self.lh,62,facewordN01_self,English_intact-Chinese_intact,cosmo_classify_libsvm,5,5,5,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E2_self.lh,62,facewordN01_self,English_intact-Chinese_intact,cosmo_classify_libsvm,6,1,1,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E2_self.lh,62,facewordN01_self,English_intact-Chinese_intact,cosmo_classify_libsvm,6,1,5,0
roi.lh.f-vs-o.ffa1.label,main_sm0_E2_self.lh,62,facewordN01_self,English_intact-Chinese_intact,cosmo_classify_libsvm,7,5,1,0
roi.lh.f-vs-o.ffa1.label,main_sm0_E2_self.lh,62,facewordN01_self,English_intact-Chinese_intact,cosmo_classify_libsvm,7,5,5,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E2_self.lh,62,facewordN01_self,English_intact-Chinese_intact,cosmo_classify_libsvm,8,5,1,0
roi.lh.f-vs-o.ffa1.label,main_sm0_E2_self.lh,62,facewordN01_self,English_intact-Chinese_intact,cosmo_classify_libsvm,8,5,5,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E2_self.lh,62,facewordN01_self,English_intact-Chinese_intact,cosmo_classify_libsvm,9,1,1,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E2_self.lh,62,facewordN01_self,English_intact-Chinese_intact,cosmo_classify_libsvm,9,1,5,0
roi.lh.f-vs-o.ffa1.label,main_sm0_E2_self.lh,62,facewordN01_self,English_intact-Chinese_intact,cosmo_classify_libsvm,10,1,1,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E2_self.lh,62,facewordN01_self,English_intact-Chinese_intact,cosmo_classify_libsvm,10,1,5,0
roi.lh.f-vs-o.ffa1.label,main_sm0_E2_self.lh,62,facewordN01_self,English_intact-English_exchange,cosmo_classify_libsvm,1,1,1,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E2_self.lh,62,facewordN01_self,English_intact-English_exchange,cosmo_classify_libsvm,1,1,2,0
roi.lh.f-vs-o.ffa1.label,main_sm0_E2_self.lh,62,facewordN01_self,English_intact-English_exchange,cosmo_classify_libsvm,2,1,1,1
