Label,Analysis,nVertices,SessCode,ClassifyPair,Classifier,Run,Predicted,Targets,ACC
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,1,1,1,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,1,5,5,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,2,5,1,0
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,2,5,5,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,3,1,1,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,3,1,5,0
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,4,1,1,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,4,5,5,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,5,1,1,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,5,1,5,0
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,6,1,1,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,6,1,5,0
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,7,5,1,0
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,7,5,5,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,8,1,1,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,8,5,5,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,9,1,1,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,9,5,5,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,10,5,1,0
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,10,1,5,0
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-face_exchange,cosmo_classify_libsvm,1,2,1,0
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-face_exchange,cosmo_classify_libsvm,1,1,2,0
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-face_exchange,cosmo_classify_libsvm,2,1,1,1
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-face_exchange,cosmo_classify_libsvm,2,1,2,0
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-face_exchange,cosmo_classify_libsvm,3,2,1,0
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-face_exchange,cosmo_classify_libsvm,3,1,2,0
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-face_exchange,cosmo_classify_libsvm,4,2,1,0
roi.lh.f-vs-o.ffa1.label,main_sm0_E1_self.lh,152,faceword03_self,face_intact-face_exchange,cosmo_classify_libsvm,4,1,2,0
