Label,Analysis,nVertices,SessCode,ClassifyPair,Classifier,Run,Predicted,Targets,ACC
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,136,faceword05_self,face_top-face_bottom,cosmo_classify_libsvm,10,3,3,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,136,faceword05_self,face_top-face_bottom,cosmo_classify_libsvm,10,3,4,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,136,faceword05_self,word_top-word_bottom,cosmo_classify_libsvm,1,7,7,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,136,faceword05_self,word_top-word_bottom,cosmo_classify_libsvm,1,7,8,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,136,faceword05_self,word_top-word_bottom,cosmo_classify_libsvm,2,8,7,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,136,faceword05_self,word_top-word_bottom,cosmo_classify_libsvm,2,8,8,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,136,faceword05_self,word_top-word_bottom,cosmo_classify_libsvm,3,8,7,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,136,faceword05_self,word_top-word_bottom,cosmo_classify_libsvm,3,7,8,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,136,faceword05_self,word_top-word_bottom,cosmo_classify_libsvm,4,8,7,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,136,faceword05_self,word_top-word_bottom,cosmo_classify_libsvm,4,7,8,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,136,faceword05_self,word_top-word_bottom,cosmo_classify_libsvm,5,7,7,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,136,faceword05_self,word_top-word_bottom,cosmo_classify_libsvm,5,7,8,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,136,faceword05_self,word_top-word_bottom,cosmo_classify_libsvm,6,8,7,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,136,faceword05_self,word_top-word_bottom,cosmo_classify_libsvm,6,8,8,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,136,faceword05_self,word_top-word_bottom,cosmo_classify_libsvm,7,7,7,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,136,faceword05_self,word_top-word_bottom,cosmo_classify_libsvm,7,7,8,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,136,faceword05_self,word_top-word_bottom,cosmo_classify_libsvm,8,7,7,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,136,faceword05_self,word_top-word_bottom,cosmo_classify_libsvm,8,8,8,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,136,faceword05_self,word_top-word_bottom,cosmo_classify_libsvm,9,7,7,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,136,faceword05_self,word_top-word_bottom,cosmo_classify_libsvm,9,8,8,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,136,faceword05_self,word_top-word_bottom,cosmo_classify_libsvm,10,8,7,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,136,faceword05_self,word_top-word_bottom,cosmo_classify_libsvm,10,8,8,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,117,faceword06_self,face_intact-word_intact,cosmo_classify_libsvm,1,1,1,1
