Label,Analysis,nVertices,SessCode,ClassifyPair,Classifier,Run,Predicted,Targets,ACC
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,word_intact-word_exchange,cosmo_classify_libsvm,3,5,6,0
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,word_intact-word_exchange,cosmo_classify_libsvm,4,6,5,0
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,word_intact-word_exchange,cosmo_classify_libsvm,4,6,6,1
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,word_intact-word_exchange,cosmo_classify_libsvm,5,6,5,0
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,word_intact-word_exchange,cosmo_classify_libsvm,5,6,6,1
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,word_intact-word_exchange,cosmo_classify_libsvm,6,5,5,1
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,word_intact-word_exchange,cosmo_classify_libsvm,6,5,6,0
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,word_intact-word_exchange,cosmo_classify_libsvm,7,5,5,1
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,word_intact-word_exchange,cosmo_classify_libsvm,7,5,6,0
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,word_intact-word_exchange,cosmo_classify_libsvm,8,5,5,1
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,word_intact-word_exchange,cosmo_classify_libsvm,8,6,6,1
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,word_intact-word_exchange,cosmo_classify_libsvm,9,6,5,0
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,word_intact-word_exchange,cosmo_classify_libsvm,9,6,6,1
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,word_intact-word_exchange,cosmo_classify_libsvm,10,5,5,1
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,word_intact-word_exchange,cosmo_classify_libsvm,10,5,6,0
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,1,4,3,0
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,1,4,4,1
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,2,3,3,1
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,2,3,4,0
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,3,3,3,1
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,3,3,4,0
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,4,4,3,0
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,4,4,4,1
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,5,3,3,1
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,5,3,4,0
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,6,3,3,1
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,6,3,4,0
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,7,4,3,0
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,7,4,4,1
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,8,3,3,1
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,8,3,4,0
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,9,4,3,0
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,9,3,4,0
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,10,4,3,0
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,10,4,4,1
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,1,8,7,0
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,1,8,8,1
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,2,7,7,1
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,2,7,8,0
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,3,8,7,0
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,3,8,8,1
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,4,7,7,1
roi.lh.o-vs-scr.label,main_sm0_E1_self.lh,140,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,4,8,8,1
