Label,Analysis,nVertices,SessCode,Condition,Response,Area
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,125006,facewordN05_self,Chinese_bottom,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,112844,facewordN06_self,English_intact,1.40014255295197,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,112844,facewordN06_self,English_exchange,1.45963942507903,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,112844,facewordN06_self,English_top,1.22873339056969,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,112844,facewordN06_self,English_bottom,1.76227668424447,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,112844,facewordN06_self,Chinese_intact,0.776733705566989,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,112844,facewordN06_self,Chinese_exchange,0.953530365394221,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,112844,facewordN06_self,Chinese_top,1.09214168787003,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,112844,facewordN06_self,Chinese_bottom,0.786313162909614,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,134067,facewordN07_self,English_intact,0.987206953920816,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,134067,facewordN07_self,English_exchange,1.58160669395798,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,134067,facewordN07_self,English_top,1.02959163957521,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,134067,facewordN07_self,English_bottom,1.34565518482735,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,134067,facewordN07_self,Chinese_intact,0.973767875448654,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,134067,facewordN07_self,Chinese_exchange,1.15207289825929,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,134067,facewordN07_self,Chinese_top,1.25322354467292,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,134067,facewordN07_self,Chinese_bottom,1.16563520855025,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,140477,facewordN08_self,English_intact,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,140477,facewordN08_self,English_exchange,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,140477,facewordN08_self,English_top,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,140477,facewordN08_self,English_bottom,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,140477,facewordN08_self,Chinese_intact,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,140477,facewordN08_self,Chinese_exchange,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,140477,facewordN08_self,Chinese_top,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,140477,facewordN08_self,Chinese_bottom,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,137484,facewordN09_self,English_intact,0.627328277388705,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,137484,facewordN09_self,English_exchange,1.13789006803609,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,137484,facewordN09_self,English_top,0.768276276090477,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,137484,facewordN09_self,English_bottom,1.03125178927108,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,137484,facewordN09_self,Chinese_intact,0.706999885507777,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,137484,facewordN09_self,Chinese_exchange,0.899656514955472,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,137484,facewordN09_self,Chinese_top,0.669671962910061,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,137484,facewordN09_self,Chinese_bottom,0.932055446543271,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,125964,facewordN10_self,English_intact,0.501815949731013,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,125964,facewordN10_self,English_exchange,0.660880137015792,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,125964,facewordN10_self,English_top,0.31276927033768,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,125964,facewordN10_self,English_bottom,0.419762339004699,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,125964,facewordN10_self,Chinese_intact,0.621336904080475,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,125964,facewordN10_self,Chinese_exchange,1.10816019335214,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,125964,facewordN10_self,Chinese_top,0.519822522997856,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,125964,facewordN10_self,Chinese_bottom,0.714914186474155,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,136490,facewordN11_self,English_intact,1.75589304140636,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,136490,facewordN11_self,English_exchange,2.51118537528174,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,136490,facewordN11_self,English_top,2.02078180994306,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,136490,facewordN11_self,English_bottom,2.16610051904406,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,136490,facewordN11_self,Chinese_intact,1.79166123356138,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,136490,facewordN11_self,Chinese_exchange,1.47183187178203,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,136490,facewordN11_self,Chinese_top,1.50346437181745,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,136490,facewordN11_self,Chinese_bottom,1.46016604559762,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,138906,facewordN12_self,English_intact,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,138906,facewordN12_self,English_exchange,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,138906,facewordN12_self,English_top,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,138906,facewordN12_self,English_bottom,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,138906,facewordN12_self,Chinese_intact,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,138906,facewordN12_self,Chinese_exchange,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,138906,facewordN12_self,Chinese_top,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,138906,facewordN12_self,Chinese_bottom,NaN,50
