Label,Analysis,nVertices,SessCode,Condition,Response,Area
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,122633,faceword01_self,face_intact,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,122633,faceword01_self,face_exchange,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,122633,faceword01_self,face_top,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,122633,faceword01_self,face_bottom,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,122633,faceword01_self,word_intact,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,122633,faceword01_self,word_exchange,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,122633,faceword01_self,word_top,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,122633,faceword01_self,word_bottom,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,125567,faceword02_self,face_intact,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,125567,faceword02_self,face_exchange,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,125567,faceword02_self,face_top,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,125567,faceword02_self,face_bottom,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,125567,faceword02_self,word_intact,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,125567,faceword02_self,word_exchange,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,125567,faceword02_self,word_top,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,125567,faceword02_self,word_bottom,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,127505,faceword03_self,face_intact,1.13204533785162,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,127505,faceword03_self,face_exchange,0.936286389827728,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,127505,faceword03_self,face_top,0.901456171358135,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,127505,faceword03_self,face_bottom,0.65183431959488,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,127505,faceword03_self,word_intact,1.054205601484,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,127505,faceword03_self,word_exchange,1.15076949310974,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,127505,faceword03_self,word_top,0.884802197066831,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,127505,faceword03_self,word_bottom,1.14087036713748,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E1_self.lh,130007,faceword04_self,face_intact,0.945702974926935,50
