ExpCode,Label,nVertices,LabelSize,TalCoordinate_1,TalCoordinate_2,TalCoordinate_3,SubjCode,Resp,Conditions,Target
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,1.71119510609108,face_bottom,4
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,2.52132461804558,word_intact,5
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,2.23319042386099,word_exchange,6
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,1.79293482704491,word_top,7
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,2.22481429727476,word_bottom,8
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,1.74766295782634,face_intact,1
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,0.699496626070013,face_exchange,2
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,2.42737229176403,face_top,3
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,1.5669819807385,face_bottom,4
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,1.6662623214838,word_intact,5
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,1.98346105809866,word_exchange,6
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,2.52798667361325,word_top,7
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,2.39078428126094,word_bottom,8
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,1.6074650318853,face_intact,1
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,1.28753081879319,face_exchange,2
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,1.57693127262166,face_top,3
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,1.37850785807954,face_bottom,4
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,1.96944088586095,word_intact,5
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,2.22111825408977,word_exchange,6
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,2.36809131796158,word_top,7
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,2.09477028192584,word_bottom,8
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,1.16112217064129,face_intact,1
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,1.46310814597688,face_exchange,2
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,1.7917246190803,face_top,3
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,1.4243189764187,face_bottom,4
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,1.86215132790169,word_intact,5
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,2.29203355981683,word_exchange,6
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,1.94877240841359,word_top,7
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,2.1240151432,word_bottom,8
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,1.2836695374957,face_intact,1
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,0.445765585559557,face_exchange,2
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,1.57848278908853,face_top,3
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,1.84585356918422,face_bottom,4
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,2.37286977561519,word_intact,5
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,2.12058844391076,word_exchange,6
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,1.96805593119178,word_top,7
1,roi.lh.f13.o-vs-scr.label,1988,1221.47,19.8,-153,3.9,faceword01_self,2.66496663978834,word_bottom,8
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.687551182093534,face_intact,1
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.478260084697494,face_exchange,2
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.623765126289397,face_top,3
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.772662443067927,face_bottom,4
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,1.01708273528216,word_intact,5
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.931128089730856,word_exchange,6
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,1.11920107522126,word_top,7
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,1.20826826331082,word_bottom,8
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.593434879050378,face_intact,1
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,1.2805879305973,face_exchange,2
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.01831438907895,face_top,3
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.933264690647251,face_bottom,4
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.995885703932784,word_intact,5
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.545301312939344,word_exchange,6
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.876079444133379,word_top,7
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,1.24331530766503,word_bottom,8
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.491599533950134,face_intact,1
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.708116969492243,face_exchange,2
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.360635387538785,face_top,3
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.709767750377152,face_bottom,4
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,1.42701051402461,word_intact,5
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.723534356193031,word_exchange,6
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.506210497086626,word_top,7
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.912524755861642,word_bottom,8
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.571199249109838,face_intact,1
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.309534134161934,face_exchange,2
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,-0.440831518201936,face_top,3
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,1.20683145478451,face_bottom,4
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,1.14592131849926,word_intact,5
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.93068492173899,word_exchange,6
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.331513783700566,word_top,7
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,1.45566921242981,word_bottom,8
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.952340644164117,face_intact,1
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.517763201798506,face_exchange,2
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.299370776784743,face_top,3
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.398692913853325,face_bottom,4
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.709452336055551,word_intact,5
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.869271204602886,word_exchange,6
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.537810272427466,word_top,7
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.851883616709749,word_bottom,8
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.551567967227588,face_intact,1
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,-0.126727628620591,face_exchange,2
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.69464274175916,face_top,3
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.615674574156251,face_bottom,4
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.626474723457399,word_intact,5
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.190340714124722,word_exchange,6
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.142342009137436,word_top,7
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.52659690526773,word_bottom,8
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.352036584351012,face_intact,1
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.60396903694771,face_exchange,2
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.152731225043817,face_top,3
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.321188262930832,face_bottom,4
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.35607028586489,word_intact,5
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,1.0718872036291,word_exchange,6
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.183697627794591,word_top,7
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.33043339887232,word_bottom,8
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.1331581392254,face_intact,1
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.512993827822513,face_exchange,2
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.413238306517239,face_top,3
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.295869086607378,face_bottom,4
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,1.05958063121763,word_intact,5
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.754359089216534,word_exchange,6
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,1.2771782247767,word_top,7
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,1.03027887980558,word_bottom,8
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.726843422266684,face_intact,1
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.585136114816941,face_exchange,2
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.866954124935229,face_top,3
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.0590462975390566,face_bottom,4
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.760645230782154,word_intact,5
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.702304685356831,word_exchange,6
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.572596574573988,word_top,7
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.937691620449061,word_bottom,8
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.124486059024903,face_intact,1
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.209053468197029,face_exchange,2
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,-0.248913536062303,face_top,3
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.102530392263922,face_bottom,4
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.247498436316295,word_intact,5
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.050268749087802,word_exchange,6
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,1.1783316095463,word_top,7
1,roi.lh.f13.o-vs-scr.label,347,2.95,8936,5998,160.49,faceword03_self,0.602749572942364,word_bottom,8
